datetime,open,high,low,close,volume
2012-05-18,42.049999,45,38,38.23000,573576400
2012-05-21,36.53000,36.66000,33,34.029999,168192700
2012-05-22,32.61000,33.59000,30.94000,31,101786600
2012-05-23,31.37000,32.5,31.36000,32,73600000
2012-05-24,32.95000,33.21000,31.77000,33.029999,50237200
2012-05-25,32.90000,32.95000,31.11000,31.91000,37149800
2012-05-29,31.48000,31.69000,28.65000,28.84000,78063400
2012-05-30,28.70000,29.55000,27.86000,28.19000,57267900
2012-05-31,28.55000,29.67000,26.83000,29.60000,111639200
2012-06-01,28.89000,29.15000,27.39000,27.72000,41855500
2012-06-04,27.20000,27.65000,26.44000,26.90000,35230300
2012-06-05,26.70000,27.76000,25.75,25.87000,42473400
2012-06-06,26.070000,27.17000,25.52000,26.81000,61489200
2012-06-07,27,27.35000,26.15000,26.31000,26159500
2012-06-08,26.55000,27.76000,26.44000,27.10000,38034000
2012-06-11,27.18000,28.070000,26.84000,27.010000,28219600
2012-06-12,27.48000,27.77000,26.96000,27.40000,15816800
2012-06-13,27.66000,28.10000,27.10000,27.27000,17102800
2012-06-14,27.65000,28.32000,27.38000,28.29000,16855000
2012-06-15,28.51000,30.10000,28.35000,30.010000,43563800
2012-06-18,29.96000,32.080002,29.41000,31.41000,42978900
2012-06-19,31.54000,32.18000,30.70000,31.91000,30849000
2012-06-20,31.92000,31.93000,31.15000,31.60000,15553600
2012-06-21,31.67000,32.5,31.51000,31.84000,21875300
2012-06-22,32.41000,33.45000,32.060001,33.049999,74834000
2012-06-25,32.86000,33.020000,31.55000,32.060001,24352900
2012-06-26,32.69000,33.44000,32.5,33.099998,24858700
2012-06-27,32.46000,32.90000,31.90000,32.23000,28568000
2012-06-28,31.96000,32.19000,30.90000,31.36000,17713300
2012-06-29,31.92000,31.99000,30.76000,31.10000,19526900
2012-07-02,31.25,31.73000,30.55000,30.77000,14122000
2012-07-03,30.91000,31.44000,30.80000,31.20000,8763600
2012-07-05,31.32000,31.63000,31.020000,31.47000,10032100
2012-07-06,31.44000,31.90000,31.26000,31.73000,10945600
2012-07-09,32.099998,32.88000,31.99000,32.17000,17785200
2012-07-10,32.43000,32.48000,31.16000,31.47000,14269500
2012-07-11,31.48000,31.56000,30.55000,30.97000,13030300
2012-07-12,30.70000,31.40000,30.60000,30.81000,11300700
2012-07-13,31.040001,31.070000,30.56000,30.72000,8108300
2012-07-16,30.5,30.5,28.21000,28.25,24672100
2012-07-17,28.48000,28.59000,27.15000,28.090000,30438600
2012-07-18,28.31000,29.29000,28.15000,29.11000,16841800
2012-07-19,29.41000,29.5,28.63000,29,13685100
2012-07-20,29,29.47000,28.72000,28.76000,11869100
2012-07-23,28.12000,29,28.010000,28.75,12390700
2012-07-24,28.82000,29.45000,28.10000,28.45000,11539800
2012-07-25,28.39000,29.49000,28.080000,29.34000,17230200
2012-07-26,27.75,28.23000,26.73000,26.85000,64597400
2012-07-27,23.19000,24.54000,22.28000,23.71000,123102300
2012-07-30,24,24.040001,23.030001,23.15000,29285900
2012-07-31,23.37000,23.37000,21.61000,21.71000,56179400
2012-08-01,21.5,21.58000,20.84000,20.88000,44604400
2012-08-02,20.77000,20.84000,19.82000,20.040001,56374500
2012-08-03,20.36000,22.16000,19.90000,21.090000,80647000
2012-08-06,21.39000,22.15000,21.30000,21.92000,27778900
2012-08-07,22.20000,22.45000,20.5,20.72000,36782900
2012-08-08,20.71000,21.15000,20.22000,20.72000,29537400
2012-08-09,20.75,21.17000,20.61000,21.010000,15610700
2012-08-10,21.41000,21.82000,21.13000,21.81000,25794700
2012-08-13,22.15000,22.45000,21.40000,21.60000,24973100
2012-08-14,21.41000,21.60000,20.25,20.38000,39308800
2012-08-15,20.64000,21.41000,20.40000,21.20000,47861100
2012-08-16,20.44000,20.48000,19.69000,19.87000,157565300
2012-08-17,20.010000,20.080000,19,19.049999,129293400
2012-08-20,19.049999,20.13000,18.75,20.010000,101186600
2012-08-21,19.58000,19.98000,19.090000,19.16000,70640600
2012-08-22,19.36000,19.53000,18.96000,19.44000,49892200
2012-08-23,19.5,19.73000,19.36000,19.44000,32813700
2012-08-24,19.52000,19.68000,19.25,19.41000,29622200
2012-08-27,19.49000,19.53000,19.10000,19.15000,20704000
2012-08-28,19.10000,19.38000,18.95000,19.34000,25417000
2012-08-29,19.32000,19.38000,19.070000,19.10000,16124700
2012-08-30,19.27000,19.45000,19.059999,19.090000,30647500
2012-08-31,18.68000,18.70000,18.030001,18.059999,58764200
2012-09-04,18.080000,18.27000,17.55000,17.73000,46622400
2012-09-05,18.27000,18.75,18.18000,18.58000,60781800
2012-09-06,18.74000,19.26000,18.72000,18.96000,46066500
2012-09-07,19.10000,19.42000,18.78000,18.98000,36371700
2012-09-10,19.059999,19.20000,18.55000,18.81000,24797800
2012-09-11,18.92000,19.58000,18.85000,19.43000,50508200
2012-09-12,20.76000,21.16000,20.28000,20.93000,121584000
2012-09-13,20.96000,21.48000,20.61000,20.71000,65041600
2012-09-14,21.13000,22.080000,20.90000,22,72819800
2012-09-17,22.67000,22.75,21.5,21.52000,50667600
2012-09-18,21.60000,21.98000,21.37000,21.87000,36760500
2012-09-19,21.99000,23.37000,21.77000,23.29000,78782800
2012-09-20,23.020000,23.24000,22.54000,22.59000,57248900
2012-09-21,22.97000,23.24000,22.60000,22.86000,51218100
2012-09-24,21.78000,21.98000,20.36000,20.79000,79106500
2012-09-25,21.20000,21.21000,20.22000,20.28000,46291700
2012-09-26,20.15000,20.78000,19.80000,20.62000,38271900
2012-09-27,20.99000,21,20.16000,20.32000,30215900
2012-09-28,20.57000,21.95000,20.5,21.66000,65486000
2012-10-01,22.080000,22.59000,21.73000,21.99000,51262700
2012-10-02,22.080000,22.49000,21.82000,22.27000,29341400
2012-10-03,22.30000,22.49000,21.80000,21.83000,32000100
2012-10-04,22.32000,22.40000,21.41000,21.95000,46892100
2012-10-05,21.49000,21.63000,20.88000,20.91000,40529300
2012-10-08,20.40000,20.75,20.16000,20.40000,32236700
2012-10-09,20.39000,20.55000,19.97000,20.23000,27161800
2012-10-10,19.93000,19.94000,19.45000,19.64000,39321800
2012-10-11,19.88000,19.96000,19.61000,19.75,21817300
2012-10-12,19.75,19.80000,19.48000,19.52000,18809400
2012-10-15,19.68000,19.88000,19.49000,19.52000,20189700
